check,severity,symbol,date,detail,value,n_affected
zero_volume,INFO,ABCAPITAL.NS,,5 bar(s) with zero volume (0.23% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,5
zero_volume,INFO,ADANIENSOL.NS,,6 bar(s) with zero volume (0.22% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,6
extreme_move,INFO,ADANIENSOL.NS,2023-01-27,"-20.0% single-day move with no corporate action reported nearby. 12% of the universe also moved more than 5% that day, so this is a market-wide move rather than a name-specific one.",-0.20000001939355572,1
zero_volume,INFO,ADANIENT.NS,,5 bar(s) with zero volume (0.17% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,5
extreme_move,WARN,ADANIENT.NS,2015-06-03,"-38.7% single-day move with no corporate action reported nearby. Isolated --- only 10% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",-0.38749254339210526,1
extreme_move,WARN,ADANIENT.NS,2017-04-26,"-20.9% single-day move with no corporate action reported nearby. Isolated --- only 2% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",-0.20940316946730997,1
extreme_move,WARN,ADANIENT.NS,2018-09-06,"+20.9% single-day move with no corporate action reported nearby. Isolated --- only 5% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",0.20945702269044664,1
extreme_move,INFO,ADANIENT.NS,2019-05-20,"+27.4% single-day move with no corporate action reported nearby. 36% of the universe also moved more than 5% that day, so this is a market-wide move rather than a name-specific one.",0.2736797406645439,1
extreme_move,WARN,ADANIENT.NS,2020-08-25,"+23.7% single-day move with no corporate action reported nearby. Isolated --- only 3% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",0.23663044457927374,1
extreme_move,INFO,ADANIENT.NS,2023-02-01,"-28.2% single-day move with no corporate action reported nearby. 12% of the universe also moved more than 5% that day, so this is a market-wide move rather than a name-specific one.",-0.28196974754484283,1
extreme_move,WARN,ADANIENT.NS,2023-02-02,"-26.7% single-day move with no corporate action reported nearby. Isolated --- only 5% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",-0.26698202710739993,1
extreme_move,WARN,ADANIENT.NS,2023-02-08,"+20.0% single-day move with no corporate action reported nearby. Isolated --- only 4% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",0.20039383156104162,1
extreme_move,WARN,ADANIENT.NS,2024-11-21,"-22.6% single-day move with no corporate action reported nearby. Isolated --- only 4% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",-0.22606772910021267,1
zero_volume,INFO,ADANIGREEN.NS,,5 bar(s) with zero volume (0.25% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,5
extreme_move,WARN,ADANIGREEN.NS,2024-11-29,"+21.8% single-day move with no corporate action reported nearby. Isolated --- only 1% of the universe moved more than 5% that day, which makes a name-specific event or a bad print more likely.",0.21771530893379132,1
zero_volume,INFO,ADANIPORTS.NS,,6 bar(s) with zero volume (0.21% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,6
extreme_move,INFO,ADANIPORTS.NS,2024-06-04,"-21.1% single-day move with no corporate action reported nearby. 58% of the universe also moved more than 5% that day, so this is a market-wide move rather than a name-specific one.",-0.21149658153791562,1
zero_volume,INFO,ADANIPOWER.NS,,5 bar(s) with zero volume (0.17% of the series). A single one is usually a halt; a large fraction means the name was not reliably tradeable.,,5
