symbol,first,last,n_sessions,n_observed,coverage,n_traded,n_zero_volume,tradeable_coverage,n_missing,max_gap,n_gaps
ABCAPITAL.NS,2017-09-01,2026-07-31,2200,2200,1.0,2200,0,1.0,0,0,0
ADANIENSOL.NS,2015-07-31,2026-07-31,2713,2713,1.0,2712,1,0.9996314043494287,0,0,0
ADANIENT.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
ADANIGREEN.NS,2018-06-18,2026-07-31,2003,2003,1.0,2003,0,1.0,0,0,0
ADANIPORTS.NS,2015-01-01,2026-07-31,2857,2857,1.0,2856,1,0.999649982499125,0,0,0
ADANIPOWER.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
ALKEM.NS,2015-12-23,2026-07-31,2617,2617,1.0,2617,0,1.0,0,0,0
AMBUJACEM.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
ANGELONE.NS,2020-10-05,2026-07-31,1439,1439,1.0,1438,1,0.9993050729673384,0,0,0
APOLLOHOSP.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
ASHOKLEY.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
ASIANPAINT.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
AUBANK.NS,2017-07-11,2026-07-31,2236,2236,1.0,2236,0,1.0,0,0,0
AUROPHARMA.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
AXISBANK.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BAJAJ-AUTO.NS,2015-01-01,2026-07-31,2857,2857,1.0,2856,1,0.999649982499125,0,0,0
BAJAJFINSV.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BAJFINANCE.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BANDHANBNK.NS,2018-03-27,2026-07-31,2059,2059,1.0,2059,0,1.0,0,0,0
BANKBARODA.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BANKINDIA.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BDL.NS,2018-03-23,2026-07-31,2061,2061,1.0,2061,0,1.0,0,0,0
BEL.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BHARATFORG.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BHARTIARTL.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BHEL.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BIOCON.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BOSCHLTD.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BPCL.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
BRITANNIA.NS,2015-01-01,2026-07-31,2857,2857,1.0,2852,5,0.9982499124956248,0,0,0
BSE.NS,2017-02-03,2026-07-31,2342,2342,1.0,2342,0,1.0,0,0,0
CAMS.NS,2020-10-05,2026-07-31,1439,1439,1.0,1438,1,0.9993050729673384,0,0,0
CANBK.NS,2015-01-01,2026-07-31,2857,2857,1.0,2857,0,1.0,0,0,0
CDSL.NS,2017-06-30,2026-07-31,2243,2243,1.0,2243,0,1.0,0,0,0
