symbol,first_obs,last_obs,history_years,n_sessions_in_window,n_traded_in_window,missing_frac,median_turnover_inr,last_price,reasons,eligible,as_of
360ONE.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
ABB.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,69691076.30316162,1208.4515380859375,illiquid,False,2018-01-01
ABCAPITAL.NS,2017-09-01,2018-01-01,0.334,84,84,0.0,700644776.5364914,186.39999389648438,short_history,False,2018-01-01
ADANIENSOL.NS,2015-07-31,2018-01-01,2.423,252,252,0.0,96157137.72177124,219.6999969482422,short_history;illiquid,False,2018-01-01
ADANIENT.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,572148350.1888733,89.049560546875,,True,2018-01-01
ADANIGREEN.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
ADANIPORTS.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1222286147.5735626,379.9798889160156,,True,2018-01-01
ADANIPOWER.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,314599865.7114196,8.520000457763672,low_price,False,2018-01-01
ALKEM.NS,2015-12-23,2018-01-01,2.026,252,252,0.0,47156552.77807617,2042.823486328125,short_history;illiquid,False,2018-01-01
AMBER.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
AMBUJACEM.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,466989938.171875,234.7113800048828,,True,2018-01-01
ANGELONE.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
APLAPOLLO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,16204278.945960999,191.48594665527344,illiquid,False,2018-01-01
APOLLOHOSP.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,309937867.35009766,1171.5345458984375,,True,2018-01-01
ASHOKLEY.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,902134853.4230347,49.91121292114258,,True,2018-01-01
ASIANPAINT.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,809574879.0665894,1062.954833984375,,True,2018-01-01
ASTRAL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,26191753.145599365,370.96453857421875,illiquid,False,2018-01-01
AUBANK.NS,2017-07-11,2018-01-01,0.476,120,120,0.0,248826429.0,328.82818603515625,short_history;illiquid,False,2018-01-01
AUROPHARMA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1403058539.4542236,653.599365234375,,True,2018-01-01
AXISBANK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,3337062139.1608887,562.0167236328125,,True,2018-01-01
BAJAJ-AUTO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,697941601.3269043,2601.655517578125,,True,2018-01-01
BAJAJFINSV.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,549971145.5358887,514.9772338867188,,True,2018-01-01
BAJAJHLDNG.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,36657519.48321533,2515.914306640625,illiquid,False,2018-01-01
BAJFINANCE.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1220378817.5971985,167.0399169921875,,True,2018-01-01
BANDHANBNK.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
BANKBARODA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1433803729.182602,138.68661499023438,,True,2018-01-01
BANKINDIA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,572441052.868454,144.62142944335938,,True,2018-01-01
BDL.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
BEL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,568617140.3188534,51.529541015625,,True,2018-01-01
BHARATFORG.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,706274679.3173218,680.5284423828125,,True,2018-01-01
BHARTIARTL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1320982044.2734528,447.93572998046875,,True,2018-01-01
BHEL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,645862166.4220657,88.32759857177734,,True,2018-01-01
BIOCON.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,639874123.4047852,265.0105895996094,,True,2018-01-01
BLUESTARCO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,30027973.616394043,378.43817138671875,illiquid,False,2018-01-01
BOSCHLTD.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,288095952.23339844,17920.126953125,,True,2018-01-01
BPCL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1510082945.2886581,146.43856811523438,,True,2018-01-01
BRITANNIA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,467151612.8876953,2061.892333984375,,True,2018-01-01
BSE.NS,2017-02-03,2018-01-01,0.909,226,226,0.0,83838424.05337143,85.33930206298828,short_history;illiquid,False,2018-01-01
CAMS.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
CANBK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,759163825.0380669,61.05694580078125,,True,2018-01-01
CDSL.NS,2017-06-30,2018-01-01,0.507,127,127,0.0,478301708.0,160.71273803710938,short_history,False,2018-01-01
CGPOWER.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,162783131.42787933,91.67185974121094,illiquid,False,2018-01-01
CHOLAFIN.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,210584840.50056458,256.0429382324219,illiquid,False,2018-01-01
CIPLA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,585733877.6521301,571.3703002929688,,True,2018-01-01
COALINDIA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,912254229.4869995,129.61817932128906,,True,2018-01-01
COCHINSHIP.NS,2017-08-11,2018-01-01,0.392,97,97,0.0,201803632.2224121,214.10487365722656,short_history;illiquid,False,2018-01-01
COFORGE.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,155329230.32730103,118.46782684326172,illiquid,False,2018-01-01
COLPAL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,259258093.00646973,909.91943359375,,True,2018-01-01
CONCOR.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,338818349.09954834,493.33453369140625,,True,2018-01-01
CROMPTON.NS,2016-05-13,2018-01-01,1.637,252,252,0.0,134443239.065773,250.46119689941406,short_history;illiquid,False,2018-01-01
CUMMINSIND.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,208181761.54153442,775.6030883789062,illiquid,False,2018-01-01
DABUR.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,308156833.81658936,316.199951171875,,True,2018-01-01
DALBHARAT.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
DELHIVERY.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
DIVISLAB.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,773237028.9285278,1034.7999267578125,,True,2018-01-01
DIXON.NS,2017-09-18,2018-01-01,0.287,73,73,0.0,181955991.78588867,833.308349609375,short_history;illiquid,False,2018-01-01
DLF.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1572545365.7040253,237.22509765625,,True,2018-01-01
DMART.NS,2017-03-21,2018-01-01,0.783,196,196,0.0,635334017.9492798,1170.5,short_history,False,2018-01-01
DRREDDY.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,894325773.2504272,452.6151428222656,,True,2018-01-01
EICHERMOT.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,942367343.1848145,2766.73095703125,,True,2018-01-01
ETERNAL.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
FEDERALBNK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,755266611.4341965,101.03030395507812,,True,2018-01-01
FORCEMOT.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
FORTIS.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,561752921.129837,156.24880981445312,,True,2018-01-01
GAIL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1258841068.1170044,87.85628509521484,,True,2018-01-01
GLENMARK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,438890787.43341064,577.6390380859375,,True,2018-01-01
GMRAIRPORT.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,373481082.5514393,20.09070587158203,,True,2018-01-01
GODFRYPHLP.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,105817794.39019775,283.9820251464844,illiquid,False,2018-01-01
GODREJCP.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,394879730.96365356,606.2908935546875,,True,2018-01-01
GODREJPROP.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,90769107.76611328,700.464111328125,illiquid,False,2018-01-01
GRASIM.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,989485430.2150879,1084.3193359375,,True,2018-01-01
GVT&D.NS,2015-01-01,2018-01-01,3.001,252,211,0.1627,25344750.950073242,438.8493957519531,illiquid;poor_coverage,False,2018-01-01
HAL.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
HAVELLS.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,478126046.6730194,522.8153076171875,,True,2018-01-01
HCLTECH.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1024598644.7965698,337.38922119140625,,True,2018-01-01
HDFCAMC.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
HDFCBANK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1852752361.173584,425.6490478515625,,True,2018-01-01
HDFCLIFE.NS,2017-11-17,2018-01-01,0.123,31,31,0.0,654410270.973053,380.7106628417969,short_history,False,2018-01-01
HEROMOTOCO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1096007127.581543,2772.489501953125,,True,2018-01-01
HINDALCO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,2069105646.0712051,255.89743041992188,,True,2018-01-01
HINDPETRO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1434867062.1383667,180.3128662109375,,True,2018-01-01
HINDUNILVR.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1102696074.2962036,1172.3109130859375,,True,2018-01-01
HINDZINC.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,508347940.25260925,152.92733764648438,,True,2018-01-01
ICICIBANK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,3806368047.870941,295.5632629394531,,True,2018-01-01
ICICIGI.NS,2017-09-27,2018-01-01,0.263,66,66,0.0,160782222.62631226,753.649169921875,short_history;illiquid,False,2018-01-01
ICICIPRULI.NS,2016-09-29,2018-01-01,1.257,252,252,0.0,334149507.7825165,371.0011901855469,short_history,False,2018-01-01
IDEA.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,940954031.8582935,63.070560455322266,,True,2018-01-01
IDFCFIRSTB.NS,2015-11-06,2018-01-01,2.155,252,252,0.0,399325933.6168251,53.40147399902344,short_history,False,2018-01-01
IEX.NS,2017-10-23,2018-01-01,0.192,50,50,0.0,31289930.106010437,47.351436614990234,short_history;illiquid,False,2018-01-01
INDHOTEL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,52200817.195640564,111.4387435913086,illiquid,False,2018-01-01
INDIANB.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,252295319.37527466,317.4429626464844,,True,2018-01-01
INDIGO.NS,2015-11-10,2018-01-01,2.144,252,252,0.0,460564343.81469727,1189.4512939453125,short_history,False,2018-01-01
INDUSINDBK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1461332883.1849976,1545.3070068359375,,True,2018-01-01
INDUSTOWER.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,892220311.1129761,265.35614013671875,,True,2018-01-01
INFY.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,3338021884.383728,406.4488830566406,,True,2018-01-01
INOXWIND.NS,2015-04-09,2018-01-01,2.732,252,252,0.0,49424621.16020203,36.32500076293945,short_history;illiquid,False,2018-01-01
IOC.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1540840527.3208008,71.9784927368164,,True,2018-01-01
IREDA.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
IRFC.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
ITC.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,2579749384.6218185,178.77493286132812,,True,2018-01-01
JINDALSTEL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1026943049.8041229,202.9630126953125,,True,2018-01-01
JIOFIN.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
JSWENERGY.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,520495384.6967888,84.80033874511719,,True,2018-01-01
JSWSTEEL.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,870978096.2919617,241.23558044433594,,True,2018-01-01
JUBLFOOD.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,679023244.0855789,173.74591064453125,,True,2018-01-01
KALYANKJIL.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
KAYNES.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
KEI.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,56984255.98933411,366.084228515625,illiquid,False,2018-01-01
KFINTECH.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
KOTAKBANK.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1421012945.1072693,198.60623168945312,,True,2018-01-01
KPITTECH.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
LAURUSLABS.NS,2016-12-19,2018-01-01,1.035,252,252,0.0,51459662.93678284,104.2497787475586,short_history;illiquid,False,2018-01-01
LICHSGFIN.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,964044950.8520508,479.5093688964844,,True,2018-01-01
LICI.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
LODHA.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
LT.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,2100126302.0370483,1107.6307373046875,,True,2018-01-01
LTF.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,614561069.5881653,146.49049377441406,,True,2018-01-01
LTM.NS,2016-07-21,2018-01-01,1.448,252,252,0.0,28648216.696350098,1017.9381103515625,short_history;illiquid,False,2018-01-01
LUPIN.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1331023613.1398315,837.6796264648438,,True,2018-01-01
M&M.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,1233801779.0540771,684.817626953125,,True,2018-01-01
MANAPPURAM.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,433643182.2612343,103.56648254394531,,True,2018-01-01
MANKIND.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
MARICO.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,260962167.61376953,282.5068054199219,,True,2018-01-01
MARUTI.NS,2015-01-01,2018-01-01,3.001,252,252,0.0,2923282643.1069336,8873.3779296875,,True,2018-01-01
MAXHEALTH.NS,,,0.0,0,0,1.0,0.0,,no_data,False,2018-01-01
