symbol,sector,history_years,median_turnover_inr,missing_frac,last_price
360ONE.NS,Financial Services,6.286,721365461.0758667,0.0,1172.891357421875
ABB.NS,Capital Goods,11.001,1471653065.0214844,0.0,5095.42919921875
ABCAPITAL.NS,Financial Services,8.334,1007349230.6769638,0.0,361.95001220703125
ADANIENSOL.NS,Power,10.423,1269820557.888794,0.0,1046.4000244140625
ADANIENT.NS,Metals & Mining,11.001,2113142254.428955,0.0,2258.989990234375
ADANIGREEN.NS,Power,7.54,2258525796.875,0.0,1025.9000244140625
ADANIPORTS.NS,Services,11.001,2595280942.1085205,0.0,1474.8841552734375
ADANIPOWER.NS,Power,11.001,2189540297.9286575,0.0,148.75999450683594
ALKEM.NS,Healthcare,10.026,543024201.2441406,0.0,5410.12548828125
AMBER.NS,Consumer Durables,7.921,2387165671.823242,0.0,6447.5
AMBUJACEM.NS,Construction Materials,11.001,1037242925.933136,0.0,556.8934936523438
ANGELONE.NS,Financial Services,5.24,2234318328.4928894,0.0,231.80526733398438
APLAPOLLO.NS,Capital Goods,11.001,780044882.2661743,0.0,1970.0
APOLLOHOSP.NS,Healthcare,11.001,2363555576.5,0.0,7093.81298828125
ASHOKLEY.NS,Capital Goods,11.001,1451225161.2406082,0.0,181.77903747558594
ASIANPAINT.NS,Consumer Durables,11.001,2386253395.702759,0.0,2728.3291015625
ASTRAL.NS,Capital Goods,11.001,781780507.8623657,0.0,1432.646728515625
AUBANK.NS,Financial Services,8.476,1656591500.0619202,0.0,998.4803466796875
AUROPHARMA.NS,Healthcare,11.001,1054632612.4202881,0.0,1193.0
AXISBANK.NS,Financial Services,11.001,6630741236.445923,0.0,1273.41796875
BAJAJ-AUTO.NS,Automobile and Auto Components,11.001,2984251854.0,0.0,9425.3544921875
BAJAJFINSV.NS,Financial Services,11.001,2399066759.0637207,0.0,2035.2633056640625
BAJAJHLDNG.NS,Financial Services,11.001,676985883.0,0.0,11202.794921875
BAJFINANCE.NS,Financial Services,11.001,6925182686.854675,0.0,967.1546630859375
BANDHANBNK.NS,Financial Services,7.767,1034478656.2189941,0.0,142.94097900390625
BANKBARODA.NS,Financial Services,11.001,2062383054.4192123,0.0,291.3273010253906
BANKINDIA.NS,Financial Services,11.001,935905771.0896416,0.0,142.34031677246094
BDL.NS,Capital Goods,7.778,2199262899.7452393,0.0,1476.243896484375
BEL.NS,Capital Goods,11.001,5371076325.864899,0.0,395.47723388671875
BHARATFORG.NS,Automobile and Auto Components,11.001,1116308618.668213,0.0,1458.3031005859375
BHARTIARTL.NS,Telecommunication,11.001,9641916625.457031,0.0,2084.170166015625
BHEL.NS,Capital Goods,11.001,1990226386.4532547,0.0,290.51287841796875
BIOCON.NS,Healthcare,11.001,980506019.9495239,0.0,387.2868347167969
BLUESTARCO.NS,Consumer Durables,11.001,891530739.80896,0.0,1763.551025390625
BOSCHLTD.NS,Automobile and Auto Components,11.001,676283142.5,0.0,35903.734375
BPCL.NS,Oil Gas & Consumable Fuels,11.001,2181743540.4918976,0.0,371.0335998535156
BRITANNIA.NS,Fast Moving Consumer Goods,11.001,1547123109.3146973,0.0,5911.05517578125
BSE.NS,Financial Services,8.909,12365999216.028687,0.0,2621.0947265625
CAMS.NS,Financial Services,5.24,1436002545.921936,0.0,725.3854370117188
CANBK.NS,Financial Services,11.001,2550190323.9759636,0.0,149.314453125
CDSL.NS,Financial Services,8.507,4047382376.875,0.0,1433.127197265625
CGPOWER.NS,Capital Goods,11.001,1587416071.0535278,0.0,636.4951782226562
CHOLAFIN.NS,Financial Services,11.001,2242014636.847046,0.0,1722.0352783203125
CIPLA.NS,Healthcare,11.001,1824030412.0186768,0.0,1486.9501953125
COALINDIA.NS,Oil Gas & Consumable Fuels,11.001,2006129253.2142334,0.0,390.0150146484375
COCHINSHIP.NS,Capital Goods,8.392,1603245461.8710938,0.0,1618.843994140625
COFORGE.NS,Information Technology,11.001,3011321032.527649,0.0,1644.2403564453125
COLPAL.NS,Fast Moving Consumer Goods,11.001,1057036416.25,0.0,2069.405029296875
CONCOR.NS,Services,11.001,677779643.3380737,0.0,519.16455078125
CROMPTON.NS,Consumer Durables,9.637,669698095.3314056,0.0,246.28802490234375
CUMMINSIND.NS,Capital Goods,11.001,1675995344.6228027,0.0,4413.75439453125
DABUR.NS,Fast Moving Consumer Goods,11.001,1020119554.5091248,0.0,493.547119140625
DALBHARAT.NS,Construction Materials,7.031,541104295.600708,0.0,2129.957763671875
DELHIVERY.NS,Services,3.608,841569425.6184387,0.0,400.6000061035156
DIVISLAB.NS,Healthcare,11.001,2095532869.5,0.0,6317.94677734375
DIXON.NS,Consumer Durables,8.287,4637005943.192383,0.0,12091.0
DLF.NS,Realty,11.001,1977797918.615326,0.0,682.8271484375
DMART.NS,Consumer Services,8.783,1614707856.1801758,0.0,3716.10009765625
DRREDDY.NS,Healthcare,11.001,1865465435.9204712,0.0,1245.50146484375
EICHERMOT.NS,Automobile and Auto Components,11.001,2480821736.9418945,0.0,7271.85009765625
ETERNAL.NS,Consumer Services,4.444,9264840474.045792,0.0079,283.79998779296875
FEDERALBNK.NS,Financial Services,11.001,1387646555.12352,0.0,265.3434753417969
FORCEMOT.NS,Automobile and Auto Components,6.371,1096334474.5,0.0,20860.0
FORTIS.NS,Healthcare,11.001,1288955637.9906616,0.0,899.5956420898438
GAIL.NS,Oil Gas & Consumable Fuels,11.001,1820723178.3944702,0.0,166.5777587890625
GLENMARK.NS,Healthcare,11.001,1074421002.8851318,0.0,2026.199951171875
GMRAIRPORT.NS,Services,11.001,881714109.122757,0.0,105.5
GODFRYPHLP.NS,Fast Moving Consumer Goods,11.001,818198364.2318115,0.0,2257.478515625
GODREJCP.NS,Fast Moving Consumer Goods,11.001,1368491243.958374,0.0,1225.1265869140625
GODREJPROP.NS,Realty,11.001,1442597882.1520386,0.0,2005.6055908203125
GRASIM.NS,Construction Materials,11.001,1436082969.025879,0.0,2842.84375
GVT&D.NS,Capital Goods,11.001,939676376.9641113,0.0159,3156.686767578125
HAL.NS,Capital Goods,7.751,5554980592.078491,0.0,4352.84130859375
HAVELLS.NS,Consumer Durables,11.001,1136424576.7215576,0.0,1406.1685791015625
HCLTECH.NS,Information Technology,11.001,3885598373.404358,0.0,1576.1693115234375
HDFCAMC.NS,Financial Services,7.406,1854832804.0,0.0,2591.51806640625
HDFCBANK.NS,Financial Services,11.001,17113419993.399658,0.0,975.023681640625
HDFCLIFE.NS,Financial Services,8.123,1714613691.102478,0.0,747.43603515625
HEROMOTOCO.NS,Automobile and Auto Components,11.001,2676792233.9609375,0.0,5646.75732421875
HINDALCO.NS,Metals & Mining,11.001,3286859692.570862,0.0,890.3055419921875
HINDPETRO.NS,Oil Gas & Consumable Fuels,11.001,1661397463.1820984,0.0,474.1712646484375
HINDUNILVR.NS,Fast Moving Consumer Goods,11.001,3393144659.590576,0.0,2299.609375
HINDZINC.NS,Metals & Mining,11.001,997150048.9653625,0.0,600.9697265625
ICICIBANK.NS,Financial Services,11.001,12509593892.120361,0.0,1326.8143310546875
ICICIGI.NS,Financial Services,8.263,1041973874.5063477,0.0,1949.4979248046875
ICICIPRULI.NS,Financial Services,9.257,543951087.5882263,0.0,671.968017578125
IDEA.NS,Telecommunication,11.001,3464792627.427349,0.0,11.600000381469727
IDFCFIRSTB.NS,Financial Services,10.155,1552758985.2920341,0.0,85.35923767089844
