symbol,sector,present,n_obs,first,last,history_years,median_turnover_inr,missing_frac,passes,reason
360ONE.NS,Financial Services,True,1701.0,2019-09-19,2026-07-31,6.86,121182602.27514648,0.0006,False,turnover 12.1cr < 25.0cr
ABB.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,222419473.31381226,0.0,False,turnover 22.2cr < 25.0cr
ABCAPITAL.NS,Financial Services,True,2205.0,2017-09-01,2026-07-31,8.91,425190105.4736481,0.0,True,
ADANIENSOL.NS,Power,True,2718.0,2015-07-31,2026-07-31,11.0,280327636.4170227,0.0,True,
ADANIENT.NS,Metals & Mining,True,2862.0,2015-01-01,2026-07-31,11.58,1758928771.7336426,0.0,True,
ADANIGREEN.NS,Power,True,2008.0,2018-06-18,2026-07-31,8.12,1116240017.6844482,0.0,True,
ADANIPORTS.NS,Services,True,2862.0,2015-01-01,2026-07-31,11.58,1903757797.9777832,0.0,True,
ADANIPOWER.NS,Power,True,2862.0,2015-01-01,2026-07-31,11.58,611696951.4122367,0.0,True,
ALKEM.NS,Healthcare,True,2621.0,2015-12-23,2026-07-31,10.6,271358777.0,0.0004,True,
AMBER.NS,Consumer Durables,True,2102.0,2018-01-30,2026-07-31,8.5,215406564.628479,0.0,False,turnover 21.5cr < 25.0cr
AMBUJACEM.NS,Construction Materials,True,2862.0,2015-01-01,2026-07-31,11.58,853754271.6899261,0.0,True,
ANGELONE.NS,Financial Services,True,1444.0,2020-10-05,2026-07-31,5.82,1115874092.4238586,0.0,True,
APLAPOLLO.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,170914820.3418579,0.0,False,turnover 17.1cr < 25.0cr
APOLLOHOSP.NS,Healthcare,True,2862.0,2015-01-01,2026-07-31,11.58,1336661065.4699707,0.0,True,
ASHOKLEY.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,1618995669.1593018,0.0,True,
ASIANPAINT.NS,Consumer Durables,True,2862.0,2015-01-01,2026-07-31,11.58,2113708958.626709,0.0,True,
ASTRAL.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,240466721.46466064,0.0,False,turnover 24.0cr < 25.0cr
AUBANK.NS,Financial Services,True,2241.0,2017-07-11,2026-07-31,9.05,886602477.7955322,0.0,True,
AUROPHARMA.NS,Healthcare,True,2861.0,2015-01-01,2026-07-31,11.58,1398264590.3018188,0.0003,True,
AXISBANK.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,6250993890.075378,0.0,True,
BAJAJ-AUTO.NS,Automobile and Auto Components,True,2862.0,2015-01-01,2026-07-31,11.58,1429391360.2581787,0.0,True,
BAJAJFINSV.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,1814456371.125122,0.0,True,
BAJAJHLDNG.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,124446308.4375,0.0,False,turnover 12.4cr < 25.0cr
BAJFINANCE.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,5211899467.102051,0.0,True,
BANDHANBNK.NS,Financial Services,True,2064.0,2018-03-27,2026-07-31,8.34,1614796970.7703094,0.0,True,
BANKBARODA.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,2185366951.4465103,0.0,True,
BANKINDIA.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,584762174.7338028,0.0,True,
BDL.NS,Capital Goods,True,2066.0,2018-03-23,2026-07-31,8.36,382925376.9645996,0.0,True,
BEL.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,1140467643.2738228,0.0,True,
BHARATFORG.NS,Automobile and Auto Components,True,2861.0,2015-01-01,2026-07-31,11.58,884957239.9511719,0.0003,True,
BHARTIARTL.NS,Telecommunication,True,2862.0,2015-01-01,2026-07-31,11.58,4041213071.553467,0.0,True,
BHEL.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,1199956339.2144365,0.0,True,
BIOCON.NS,Healthcare,True,2862.0,2015-01-01,2026-07-31,11.58,857573785.514389,0.0,True,
BLUESTARCO.NS,Consumer Durables,True,2862.0,2015-01-01,2026-07-31,11.58,61183756.89935303,0.0,False,turnover 6.1cr < 25.0cr
BOSCHLTD.NS,Automobile and Auto Components,True,2861.0,2015-01-01,2026-07-31,11.58,440626152.5234375,0.0003,True,
BPCL.NS,Oil Gas & Consumable Fuels,True,2862.0,2015-01-01,2026-07-31,11.58,1824859694.8531036,0.0,True,
BRITANNIA.NS,Fast Moving Consumer Goods,True,2862.0,2015-01-01,2026-07-31,11.58,1055166912.5004883,0.0,True,
BSE.NS,Financial Services,True,2347.0,2017-02-03,2026-07-31,9.49,389223380.2194214,0.0,True,
CAMS.NS,Financial Services,True,1444.0,2020-10-05,2026-07-31,5.82,604701168.5293579,0.0,True,
CANBK.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,1691451952.1786118,0.0,True,
CDSL.NS,Financial Services,True,2248.0,2017-06-30,2026-07-31,9.08,534918827.75,0.0,True,
CGPOWER.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,322185947.79691124,0.0,True,
CHOLAFIN.NS,Financial Services,True,2862.0,2015-01-01,2026-07-31,11.58,850897387.9497681,0.0,True,
CIPLA.NS,Healthcare,True,2862.0,2015-01-01,2026-07-31,11.58,1457548474.825653,0.0,True,
COALINDIA.NS,Oil Gas & Consumable Fuels,True,2862.0,2015-01-01,2026-07-31,11.58,1607428872.9425812,0.0,True,
COCHINSHIP.NS,Capital Goods,True,2218.0,2017-08-11,2026-07-31,8.97,176119724.86236572,0.0,False,turnover 17.6cr < 25.0cr
COFORGE.NS,Information Technology,True,2862.0,2015-01-01,2026-07-31,11.58,1013902822.9359436,0.0,True,
COLPAL.NS,Fast Moving Consumer Goods,True,2862.0,2015-01-01,2026-07-31,11.58,535993732.4736328,0.0,True,
CONCOR.NS,Services,True,2862.0,2015-01-01,2026-07-31,11.58,571356875.8704529,0.0,True,
CROMPTON.NS,Consumer Durables,True,2528.0,2016-05-13,2026-07-31,10.21,396585933.07022095,0.0,True,
CUMMINSIND.NS,Capital Goods,True,2862.0,2015-01-01,2026-07-31,11.58,519992984.0,0.0,True,
DABUR.NS,Fast Moving Consumer Goods,True,2862.0,2015-01-01,2026-07-31,11.58,782339827.5,0.0,True,
DALBHARAT.NS,Construction Materials,True,1881.0,2018-12-21,2026-07-31,7.61,355888364.02783203,0.0005,True,
DELHIVERY.NS,Services,True,1039.0,2022-05-24,2026-07-31,4.19,650234361.3989258,0.0,False,history 4.2y < 5y
DIVISLAB.NS,Healthcare,True,2861.0,2015-01-01,2026-07-31,11.58,1255486489.0283203,0.0003,True,
DIXON.NS,Consumer Durables,True,2194.0,2017-09-18,2026-07-31,8.87,1019923899.4038086,0.0,True,
DLF.NS,Realty,True,2862.0,2015-01-01,2026-07-31,11.58,1680439466.2705078,0.0,True,
DMART.NS,Consumer Services,True,2317.0,2017-03-21,2026-07-31,9.36,1158301165.2270508,0.0,True,
DRREDDY.NS,Healthcare,True,2862.0,2015-01-01,2026-07-31,11.58,1717302198.5871887,0.0,True,
EICHERMOT.NS,Automobile and Auto Components,True,2862.0,2015-01-01,2026-07-31,11.58,1884936603.500122,0.0,True,
ETERNAL.NS,Consumer Services,True,1245.0,2021-07-23,2026-07-31,5.02,6521233866.101532,0.0,True,
